,day,time,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
0,2018-01-19,15:00:00,39.44,39.45,39.41,39.37,7991.52,-0.03,-0.08,39.476,39.651,39.8325,11623.3,8927.56,7330.51,0.01
1,2018-01-19,14:55:00,39.39,39.52,39.45,39.38,12956.2,0.06,0.15,39.564,39.703,39.8595,11013.4,8532.87,7199.58,0.01
2,2018-01-19,14:50:00,39.5,39.68,39.4,39.38,7372.6,-0.1,-0.25,39.636,39.758,39.8845,9858.85,7605.54,7110.5,0.01
3,2018-01-19,14:45:00,39.56,39.58,39.55,39.28,18394.0,-0.01,-0.03,39.706,39.817,39.914,10597.0,7146.81,7017.22,0.02
4,2018-01-19,14:40:00,39.86,39.86,39.57,39.56,11402.0,-0.29,-0.73,39.77,39.862,39.934,7615.79,6231.89,6410.7,0.01
5,2018-01-19,14:35:00,39.82,39.99,39.85,39.82,4942.12,0.03,0.08,39.826,39.919,39.9595,6231.85,5592.2,6025.54,0.01
6,2018-01-19,14:30:00,39.74,39.83,39.81,39.66,7183.52,0.07,0.18,39.842,39.958,39.975,6052.35,5542.92,6005.61,0.01
7,2018-01-19,14:25:00,39.87,39.87,39.75,39.7,11063.6,-0.12,-0.3,39.88,39.992,39.988,5352.23,5123.7,5983.17,0.01
8,2018-01-19,14:20:00,39.85,39.9,39.87,39.82,3487.72,0.02,0.05,39.928,40.017,39.999,3696.58,4691.06,5983.2,0.0
9,2018-01-19,14:15:00,39.93,39.96,39.85,39.85,4482.28,-0.08,-0.2,39.954,40.014,40.013,4847.99,4992.02,6358.51,0.0
10,2018-01-19,14:10:00,40.0,40.0,39.93,39.9,4044.64,-0.07,-0.18,40.012,40.014,40.0275,4952.56,5733.47,6554.12,0.0
11,2018-01-19,14:05:00,39.96,40.01,40.0,39.94,3682.92,0.04,0.1,40.074,40.016,40.0445,5033.49,5866.3,7055.32,0.0
12,2018-01-19,14:00:00,40.0,40.02,39.99,39.96,2785.32,-0.01,-0.03,40.104,40.011,40.083,4895.18,6615.45,7564.35,0.0
