,day,time,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
0,2017-12-05,15:00:00,10.84,10.84,10.81,10.78,853.3,-0.03,-0.28,10.742,10.898,11.186,3729.86,2443.53,1569.04,0.02
1,2017-12-05,14:55:00,10.63,10.87,10.84,10.63,9427.0,0.21,1.98,10.758,10.943,11.227,4037.2,2551.95,1529.42,0.22
2,2017-12-05,14:50:00,10.63,10.63,10.63,10.63,1987.0,0.0,0.0,10.792,10.994,11.265,2263.2,1671.05,1084.72,0.05
3,2017-12-05,14:45:00,10.8,10.85,10.63,10.63,4559.7,-0.17,-1.57,10.878,11.061,11.314,2073.0,1558.35,1011.98,0.1
4,2017-12-05,14:40:00,10.9,10.92,10.8,10.8,1822.3,-0.1,-0.92,10.972,11.136,11.366,1395.86,1215.48,789.99,0.04
5,2017-12-05,14:35:00,11.01,11.04,10.89,10.89,2390.0,-0.12,-1.09,11.054,11.201,11.411,1157.2,1068.35,704.43,0.05
6,2017-12-05,14:30:00,11.06,11.06,11.01,11.01,557.0,-0.05,-0.45,11.128,11.257,11.453,1066.7,944.35,590.13,0.01
7,2017-12-05,14:25:00,11.05,11.1,11.06,11.0,1036.0,0.01,0.09,11.196,11.314,11.4875,1078.9,946.95,576.03,0.02
8,2017-12-05,14:20:00,11.21,11.21,11.1,11.04,1174.0,-0.11,-0.98,11.244,11.373,11.518,1043.7,852.05,573.23,0.03
9,2017-12-05,14:15:00,11.26,11.28,11.21,11.19,629.0,-0.05,-0.44,11.3,11.429,11.5495,1035.1,747.25,520.38,0.01
10,2017-12-05,14:10:00,11.35,11.36,11.26,11.03,1937.5,-0.09,-0.79,11.348,11.474,11.5745,979.5,694.55,513.53,0.04
11,2017-12-05,14:05:00,11.31,11.35,11.35,11.3,618.0,0.04,0.35,11.386,11.511,11.5975,822.0,506.9,428.1,0.01
12,2017-12-05,14:00:00,11.38,11.39,11.3,11.3,860.0,-0.08,-0.7,11.432,11.536,11.6175,815.0,498.4,409.05,0.02
13,2017-12-05,13:55:00,11.45,11.45,11.38,11.36,1131.0,-0.07,-0.61,11.502,11.567,11.6405,660.4,465.6,374.3,0.03
14,2017-12-05,13:50:00,11.43,11.47,11.45,11.43,351.0,0.02,0.17,11.558,11.596,11.6605,459.4,364.5,318.25,0.01
15,2017-12-05,13:45:00,11.57,11.57,11.45,11.4,1150.0,-0.12,-1.04,11.6,11.621,11.677,409.6,340.5,307.35,0.03
16,2017-12-05,13:40:00,11.65,11.65,11.58,11.58,583.0,-0.07,-0.6,11.636,11.649,11.6945,191.8,235.9,253.75,0.01
17,2017-12-05,13:35:00,11.66,11.66,11.65,11.65,87.0,-0.01,-0.09,11.64,11.661,11.704,181.8,205.1,232.75,0.0
18,2017-12-05,13:30:00,11.65,11.68,11.66,11.65,126.0,0.01,0.09,11.632,11.663,11.7105,270.8,294.4,236.95,0.0
19,2017-12-05,13:25:00,11.63,11.66,11.66,11.63,102.0,0.03,0.26,11.634,11.67,11.7155,269.6,293.5,242.4,0.0
20,2017-12-05,13:20:00,11.6,11.63,11.63,11.6,61.0,0.03,0.26,11.642,11.675,11.722,271.4,332.5,247.0,0.0
21,2017-12-05,13:15:00,11.61,11.61,11.6,11.59,533.0,-0.01,-0.09,11.662,11.684,11.7305,280.0,349.3,253.2,0.01
22,2017-12-05,13:10:00,11.67,11.67,11.61,11.61,532.0,-0.06,-0.51,11.682,11.699,11.741,228.4,319.7,228.65,0.01
23,2017-12-05,13:05:00,11.7,11.7,11.67,11.67,120.0,-0.03,-0.26,11.694,11.714,11.7505,318.0,283.0,204.2,0.0
24,2017-12-05,11:30:00,11.73,11.73,11.7,11.7,111.0,-0.03,-0.26,11.706,11.725,11.7575,317.4,272.0,202.65,0.0
25,2017-12-05,11:25:00,11.7,11.73,11.73,11.7,104.0,0.03,0.26,11.708,11.733,11.763,393.6,274.2,202.65,0.0
