,day,time,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
0,2018-01-19,15:00:00,4.21,4.22,4.21,4.21,378.0,0.0,0.0,4.214,4.215,4.226,809.8,906.34,635.62,0.0
1,2018-01-19,14:55:00,4.22,4.22,4.21,4.21,993.69,-0.01,-0.24,4.216,4.216,4.2275,958.34,895.34,632.57,0.01
2,2018-01-19,14:50:00,4.21,4.22,4.22,4.21,731.0,0.01,0.24,4.216,4.218,4.2295,922.15,929.97,598.88,0.01
3,2018-01-19,14:45:00,4.22,4.22,4.21,4.21,1275.0,-0.01,-0.24,4.214,4.219,4.2305,1004.4,871.47,568.53,0.01
4,2018-01-19,14:40:00,4.22,4.23,4.22,4.22,671.31,0.0,0.0,4.216,4.222,4.232,1010.74,764.96,517.83,0.01
5,2018-01-19,14:35:00,4.21,4.22,4.22,4.21,1120.69,0.01,0.24,4.216,4.224,4.233,1002.88,726.94,493.32,0.01
6,2018-01-19,14:30:00,4.21,4.22,4.21,4.21,812.75,0.0,0.0,4.216,4.226,4.2345,832.34,624.67,455.28,0.01
7,2018-01-19,14:25:00,4.22,4.22,4.21,4.21,1142.25,-0.01,-0.24,4.22,4.23,4.236,937.79,594.79,460.45,0.01
8,2018-01-19,14:20:00,4.22,4.23,4.22,4.22,1306.69,0.0,0.0,4.224,4.232,4.238,738.54,486.07,434.63,0.01
9,2018-01-19,14:15:00,4.22,4.23,4.22,4.22,632.0,0.0,0.0,4.228,4.234,4.24,519.19,399.1,440.7,0.01
10,2018-01-19,14:10:00,4.23,4.23,4.22,4.22,268.0,-0.01,-0.24,4.232,4.237,4.242,451.0,364.9,415.5,0.0
11,2018-01-19,14:05:00,4.23,4.24,4.23,4.23,1340.0,0.0,0.0,4.236,4.239,4.244,417.0,369.8,415.0,0.01
12,2018-01-19,14:00:00,4.23,4.24,4.23,4.23,146.0,0.0,0.0,4.24,4.241,4.2455,251.8,267.8,392.65,0.0
13,2018-01-19,13:55:00,4.24,4.25,4.24,4.24,209.94,0.0,0.0,4.24,4.242,4.247,233.6,265.6,417.75,0.0
14,2018-01-19,13:50:00,4.24,4.25,4.24,4.24,291.06,0.0,0.0,4.24,4.242,4.2475,279.01,270.71,455.4,0.0
15,2018-01-19,13:45:00,4.24,4.25,4.24,4.24,98.0,0.0,0.0,4.242,4.242,4.2475,278.8,259.7,479.8,0.0
16,2018-01-19,13:40:00,4.24,4.25,4.25,4.23,514.0,0.01,0.24,4.242,4.243,4.247,322.6,285.9,520.3,0.01
17,2018-01-19,13:35:00,4.24,4.24,4.23,4.23,55.0,-0.01,-0.24,4.242,4.242,4.246,283.8,326.1,510.95,0.0
18,2018-01-19,13:30:00,4.25,4.25,4.24,4.24,437.0,-0.01,-0.24,4.244,4.244,4.246,297.6,383.2,521.05,0.0
19,2018-01-19,13:25:00,4.24,4.25,4.25,4.24,290.0,0.01,0.24,4.244,4.246,4.2455,262.4,482.3,517.7,0.0
20,2018-01-19,13:20:00,4.25,4.25,4.24,4.24,317.0,-0.01,-0.24,4.242,4.247,4.245,240.6,466.1,539.3,0.0
21,2018-01-19,13:15:00,4.25,4.25,4.25,4.24,320.0,0.0,0.0,4.244,4.249,4.2445,249.2,460.2,540.75,0.0
22,2018-01-19,13:10:00,4.24,4.24,4.24,4.24,124.0,0.0,0.0,4.242,4.25,4.243,368.4,517.5,553.2,0.0
23,2018-01-19,13:05:00,4.25,4.25,4.24,4.24,261.0,-0.01,-0.24,4.244,4.252,4.242,468.8,569.9,564.9,0.0
24,2018-01-19,11:30:00,4.25,4.25,4.24,4.24,181.0,-0.01,-0.24,4.248,4.253,4.241,702.2,640.1,566.75,0.0
25,2018-01-19,11:25:00,4.25,4.25,4.25,4.24,360.0,0.0,0.0,4.252,4.253,4.24,691.6,699.9,580.45,0.0
26,2018-01-19,11:20:00,4.25,4.25,4.24,4.24,916.0,-0.01,-0.24,4.254,4.251,4.239,671.2,754.7,602.2,0.01
27,2018-01-19,11:15:00,4.26,4.27,4.25,4.25,626.0,-0.01,-0.23,4.258,4.25,4.2385,666.6,695.8,578.7,0.01
28,2018-01-19,11:10:00,4.26,4.26,4.26,4.25,1428.0,0.0,0.0,4.26,4.248,4.237,671.0,658.9,559.2,0.02
29,2018-01-19,11:05:00,4.26,4.26,4.26,4.25,128.0,0.0,0.0,4.258,4.245,4.236,578.0,553.1,517.35,0.0
